Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Funding Texts,Document Type,Publication Stage,Open Access,Source,EID,relevant,country_first_author,subject_category,subject_cluster,subject_megatrend,ai_method,ai_task,main_goal,sdg_alignment,article_type,methodological_approach,spatial_scale,temporal_scale,temporal_focus,level_of_sustainability
"Zou, G.; Zhang, B.; Yong, R.; Qin, D.; Zhao, Q.","Zou, Guojian (57208134800); Zhang, Bo (57223840244); Yong, Ruihan (57195470908); Qin, Dongming (57208128002); Zhao, Qin (57199713215)",57208134800; 57223840244; 57195470908; 57208128002; 57199713215,FDN-learning: Urban PM2.5-concentration Spatial Correlation Prediction Model Based on Fusion Deep Neural Network,2021,Big Data Research,26,,100269,,,24,10.1016/j.bdr.2021.100269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114265845&doi=10.1016%2Fj.bdr.2021.100269&partnerID=40&md5=42844bf53c3a2203b1d0b935b86fc81a,"Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, Shanghai, China; Key Laboratory of Road and Traffic Engineering of the State Ministry of Education, Shanghai, China; College of Transportation Engineering, Tongji University, Shanghai, China; Shanghai Normal University, Shanghai, Shanghai, China; Shanghai Normal University, Shanghai, Shanghai, China; College of Electronics and Information Engineering, Tongji University, Shanghai, China","Zou, Guojian, Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, Shanghai, China, Key Laboratory of Road and Traffic Engineering of the State Ministry of Education, Shanghai, China, College of Transportation Engineering, Tongji University, Shanghai, China; Zhang, Bo, Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, Shanghai, China, Shanghai Normal University, Shanghai, Shanghai, China, Shanghai Normal University, Shanghai, Shanghai, China; Yong, Ruihan, Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, Shanghai, China; Qin, Dongming, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Zhao, Qin, Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, Shanghai, China","The problem of increasing air pollution poses a challenge to smart city development, as spatial air pollution correlation exists among adjacent cities. However, it is difficult to predict the degree of air pollution of a location by exploiting massive air pollution datasets incorporating data on spatially related locations. Construction of a spatial correlation prediction model for air pollution is therefore required for air pollution big-data mining. In this paper, we propose an air pollution-concentration spatial correlation prediction model based on a fusion deep neural network called FDN-learning. Three models are combined: a stacked anti-autoencoder network, Gaussian function model, and long short-term memory network (LSTM). The FDN-learning model is composed of three layers for feature expansion, intermediate processing, and data prediction. In the first layer, we employ a stacked anti-autoencoder model to learn the source-data spatial features through a feature expansion hidden layer; this can enrich the feature vector and mine more information for further prediction. In the second layer, the Gaussian function evaluates effective weights for the outputs of the stacked anti-autoencoder models in the preceding layer; the spatial correction effects are therefore incorporated in this layer. Finally, the LSTM model in the data prediction layer learns the air pollution-concentration temporal features. A fine-tuning method based on stochastic gradient descent is applied to the FDN-learning model for improved performance. Empirical results are used to verify the feasibility and effectiveness of our proposed model based on a real-world air pollution dataset. © 2021 Elsevier Inc.","Funding text 1: This work is funded by National Natural Science Foundation of China ( 61572326 , 61802258 , 61702333 ), Natural Science Foundation of Shanghai ( 18ZR1428300 ), the Shanghai Committee of Science and Technology ( 17070502800 ).; Funding text 2: This document is the results of the research project funded by the National Natural Science Foundation of China ( 61572326 , 61802258 , 61702333 ), Natural Science Foundation of Shanghai ( 18ZR1428300 ), and the Shanghai Committee of Science and Technology ( 17070502800 ).",Article,Final,,Scopus,2-s2.0-85114265845,Yes,China,Environment,Environment & Sustainability,Climate Change & Environmental Sustainability,Deep Neural Network (Fusion),Prediction/Forecasting,Predict urban PM2.5 spatial correlation using fusion deep neural network,"SDG 3 (Health), SDG 11 (Sustainable Cities), SDG 13 (Climate)",Methodological,Quantitative,Local,Future,Cross-sectional,Strong
"Lim, D.H.; Park, D.-W.","Lim, Donghyun (57222117971); Park, Deawoo (52264480500)",57222117971; 52264480500,Artificial Intelligence Acquisition and Response of Disaster Information Using Smart City High-Rise Wide-Angle CCTV,2021,Journal of Korean Institute of Communications and Information Sciences,46,11,,2023,2030,2,10.7840/kics.2021.46.11.2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190685396&doi=10.7840%2Fkics.2021.46.11.2023&partnerID=40&md5=cfd2f4ceb251c0751f1d7f3a799a32e9,"Hoseo University, Asan, Chungcheongnam-do, South Korea","Lim, Donghyun, Hoseo University, Asan, Chungcheongnam-do, South Korea; Park, Deawoo, Hoseo University, Asan, Chungcheongnam-do, South Korea","The timing of a disaster cannot be predicted. In particular, fires, floods, power outages, building collapses, and major accidents in local governments occur quickly and in a short time. An instantaneous fire spreads to the entire building, causing property damage as well as personal injury. From the point of view of smart city operation, one administrative goal will be achieved if the safety of citizens is maintained by using the 4th industrial technology's artificial intelligence and wired and wireless communication. In order to quickly respond to disasters in smart cities, high-rise wide-angle CCTVs that enable control from a new perspective must be able to collect image information, and continuous control using LSTM-based edge computing should be operated to quickly detect disasters and effectively respond to disasters. In this study, we discuss the disaster information acquisition design of smart city high-rise wide-angle CCTV. We explain detailed design of high-rise wide-angle CCTV installation conditions analysis, high-rise wide-angle CCTV camera selection criteria, video information network connection plan, and high-rise wide-angle CCTV installation structure construction plan. Finally, we study artificial intelligence disaster information acquisition and artificial intelligence disaster response algorithms based on GAN and LSTM, and study real-time disaster response using TensorFlow. © 2021, Korean Institute of Communications and Information Sciences. All rights reserved.",,Article,Final,,Scopus,2-s2.0-85190685396,Yes,South Korea,Safety/Crime,Disaster Management,Urban Resilience & Safety,AI (unspecified),Object Detection,Acquire and respond to disaster information using AI and wide-angle CCTV in smart cities,"SDG 11 (Sustainable Cities), SDG 13 (Climate)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
"Peña Zamalloa, G.R.P.","Peña Zamalloa, Gonzalo Rodolfo (57216783054)",57216783054,"SPATIAL CLASSIFICATION of URBAN LAND by SPECULATIVE LAND VALUE and MSI SATELLITE IMAGERY USING K-MEANS, in HUANCAYO, PERU; CLASIFICACIÓN ESPACIAL DEL SUELO URBANO POR EL VALOR ESPECULATIVO DEL SUELO E IMÁGENES MSI SATELITALES USANDO K-MEANS, HUANCAYO, PERÚ",2021,Urbano,24,44,,70,83,5,10.22320/07183607.2021.24.44.06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122257639&doi=10.22320%2F07183607.2021.24.44.06&partnerID=40&md5=008f37b8e5a83242652a7fb1297741e8,"Universidad Continental, Huancayo, Junin, Peru","Peña Zamalloa, Gonzalo Rodolfo, Universidad Continental, Huancayo, Junin, Peru","The city of Huancayo, like other intermediate cities in Latin America, faces problems of poorly planned land-use changes and a rapid dynamic of the urban land market. The scarce and outdated information on the urban territory impedes the adequate classification of urban areas, limiting the form of its intervention. The purpose of this research was the adoption of unassisted and mixed methods for the spatial classification of urban areas, considering the speculative land value, the proportion of urbanized land, and other geospatial variables. Among the data collection media, Multi-Spectral Imagery (MSI) from the Sentinel-2 satellite, the primary road system, and a sample of direct observation points, were used. The processed data were incorporated into georeferenced maps, to which urban limits and official slopes were added. During data processing, the K-Means algorithm was used, together with other machine learning and assisted judgment methods. As a result, an objective classification of urban areas was obtained, which differs from the existing planning. © 2021 The authors. All right reserved.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85122257639,Yes,Peru,Land Use,Urban Planning & Land Use,Urban Development & Land Use,K-Means,Clustering,Classify urban land spatially using speculative land value and satellite imagery with K-Means,SDG 11 (Sustainable Cities),Empirical,Quantitative,Local,Present,Cross-sectional,Weak
"Atta, A.; Khan, M.A.; Abbas, S.; Khan, M.S.; Ahmad, G.","Atta, Ayesha (57204434332); Khan, Muhammad Adnan (57226797214); Abbas, Sagheer (57202833192); Khan, Muhammad Saleem (57219521650); Ahmad, Gulzar Izar (57212744213)",57204434332; 57226797214; 57202833192; 57219521650; 57212744213,Adaptive IoT Empowered Smart Road Traffic Congestion Control System Using Supervised Machine Learning Algorithm,2021,Computer Journal,64,11,,1672,1679,57,10.1093/comjnl/bxz129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121260579&doi=10.1093%2Fcomjnl%2Fbxz129&partnerID=40&md5=67c069940b86c0f59471f98f416adb97,"Department of Computer Science, Government College University Lahore, Lahore, Punjab, Pakistan; National College of Business Administration and Economics, Lahore, Pakistan; Department of Computer Science, National College of Business Administration and Economics, Lahore, Pakistan","Atta, Ayesha, Department of Computer Science, Government College University Lahore, Lahore, Punjab, Pakistan; Khan, Muhammad Adnan, National College of Business Administration and Economics, Lahore, Pakistan; Abbas, Sagheer, National College of Business Administration and Economics, Lahore, Pakistan; Khan, Muhammad Saleem, Department of Computer Science, National College of Business Administration and Economics, Lahore, Pakistan; Ahmad, Gulzar Izar, Department of Computer Science, National College of Business Administration and Economics, Lahore, Pakistan","The concept of smart systems blessed with different technologies can enable many algorithms used in Machine Learning (ML) and the world of the Internet of Things (IoT). In a modern city many different sensors can be used for information collection. Algorithms that are cast-off in Machine Learning improves the capabilities and intelligence of a system when the amount of data collectedincreases. In this research, we propose a TCC-SVM system model to analyse traffic congestion in the environment of a smart city. The proposed model comprises an ML-enabled IoT-based road traffic congestion control system whereby the occurrence of congestion at a specific point is notified. © 2020 The British Computer Society 2020. All rights reserved.",,Article,Final,,Scopus,2-s2.0-85121260579,Yes,Pakistan,Transportation,Transportation & Mobility,Urban Mobility & Transportation,SVM,Classification,Control road traffic congestion adaptively using IoT and supervised machine learning,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Present,Cross-sectional,Strong
"Ma, C.","Ma, Chen (57225129488)",57225129488,"Smart city and cyber-security; technologies used, leading challenges and future recommendations",2021,Energy Reports,7,,,7999,8012,155,10.1016/j.egyr.2021.08.124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119999083&doi=10.1016%2Fj.egyr.2021.08.124&partnerID=40&md5=d10953bea0a0751200987bddec73fa6d,"China People's Police University, Langfang, Hebei, China","Ma, Chen, China People's Police University, Langfang, Hebei, China","Today, some cities around the world have tended to use new technologies and become smart city. New technologies improve the quality of citizens’ life. However, the use of any technology raises new issues and challenges. In a smart city, the vulnerable action of an individual or organization can put the entire city at risk. Due to the reliance of various components of smart cities on information and communication technology, cyber-security challenges (such as information leakage and malicious cyber-attacks) in this field affect smart cities behavior. Therefore, in order to respond to the enthusiastic acceptance of global smart city technologies, cyber security must develop in same direction. The aim of this paper is survey and discus on explanation of cyber security, smart cities, and survey of available relevant literature on security in that technology. For this purpose, the present study focuses on the four main components of a smart city, i.e. smart grid, Smart building, Smart transportation system, and Smart healthcare. In particular, summary of two deep learning method and cyber-security programs as well as technology correlation in smart cities are discussed. Furthermore, effective functional solutions in maintaining cyber-security and user privacy in smart cities are explained. The next progress trends of smart city with cyber security are described. Solutions need to be devised to address each of the security issues. The research in this study showed that meeting these challenges depends on the hard work of governments, developers of equipment and software and companies providing IT security services. In addition, designing flexible systems with high information protection capabilities is essential to prevent serious security incidents as these incidents can lead to disastrous financial, data, credit and loss of public trust. © 2021 The Author",National key R & D Program “Research on innovative business operation and strategic technology system of invigorating police by science and technology” (No. 2020YFC0832604); Key Scientific Research Projects of the China People's Police University “Intelligent fire risk assessment and early warning technology based on big data analysis” (No. ZDZX202102).,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85119999083,Yes,China,Safety/Crime,Security & Safety,Digital Transformation & Smart Cities,"IoT, Blockchain, AI",Not Specified,Review smart city technologies and cyber-security challenges with future recommendations,"SDG 11 (Sustainable Cities), SDG 16 (Governance)",Review/Survey,Qualitative,Local,Future,Longitudinal,Medium
"Yang, Y.; Wang, D.; Yan, Z.; Zhang, S.","Yang, Yuewen (57205723586); Wang, Dongyan (57209859490); Yan, Zhuoran (57214947010); Zhang, Shuwen (35094853500)",57205723586; 57209859490; 57214947010; 35094853500,"Delineating urban functional zones using u-net deep learning: Case study of kuancheng district, Changchun, China",2021,Land,10,11,1266,,,8,10.3390/land10111266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119896233&doi=10.3390%2Fland10111266&partnerID=40&md5=c1847aef469e2c81d889191003291425,"College of Earth Sciences, Jilin University, Changchun, Jilin, China; Northeast Institute of Geography and Agroecology, Changchun, Jilin, China","Yang, Yuewen, College of Earth Sciences, Jilin University, Changchun, Jilin, China, Northeast Institute of Geography and Agroecology, Changchun, Jilin, China; Wang, Dongyan, College of Earth Sciences, Jilin University, Changchun, Jilin, China; Yan, Zhuoran, College of Earth Sciences, Jilin University, Changchun, Jilin, China; Zhang, Shuwen, Northeast Institute of Geography and Agroecology, Changchun, Jilin, China","Scientific functional zone planning is the key to achieving long-term development goals for cities. The rapid development of remote sensing technology allows for the identification of urban functional zones, which is important since they serve as basic spatial units for urban planning and functioning. The accuracy of three methods—kernel density estimation, term frequency-inverse document frequency, and deep learning—for detecting urban functional zones was investigated using the Gaode points of interest, high-resolution satellite images, and OpenStreetMap. Kuancheng District was divided into twenty-one functional types (five single functional types and twenty mixed ones). The results showed that an approach using deep learning had a higher accuracy than the other two methods for delineating four out of five functions (excluding the commercial function) when compared with a field survey. The field survey showed that Kuancheng District was progressing towards completing the goals of the Land-Use Plan of the Central City of Changchun (2011–2020). Based on these findings, we illustrate the feasibility of identifying urban functional areas and lay out a framework for transforming them. Our results can guide the adjustment of the urban spatial structure and provide a reference basis for the scientific and reasonable development of urban land-use planning. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Funding: This work was supported by the National Natural Science Foundation of China, grant number 42071255.",Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85119896233,Yes,China,Land Use,Urban Planning & Land Use,Urban Development & Land Use,U-Net (Deep Learning),Classification,Delineate urban functional zones using U-Net deep learning with POI and satellite images,SDG 11 (Sustainable Cities),Methodological,Mixed,Local,Past,Cross-sectional,Weak
"Domingo, M.C.","Domingo, Mari Carmen (7005595700)",7005595700,Deep learning and internet of things for beach monitoring: An experimental study of beach attendance prediction at castelldefels beach,2021,Applied Sciences (Switzerland),11,22,10735,,,21,10.3390/app112210735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119610813&doi=10.3390%2Fapp112210735&partnerID=40&md5=170f98e337d69bd1869a9a99d868f6b2,"Department of Network Engineering, Universitat Politècnica de Catalunya, Barcelona, Barcelona, Spain","Domingo, Mari Carmen, Department of Network Engineering, Universitat Politècnica de Catalunya, Barcelona, Barcelona, Spain","Smart seaside cities can fully exploit the capabilities brought by Internet of Things (IoT) and artificial intelligence to improve the efficiency of city services in traditional smart city applications: smart home, smart healthcare, smart transportation, smart surveillance, smart environment, cyber security, etc. However, smart coastal cities are characterized by their specific application domain, namely, beach monitoring. Beach attendance prediction is a beach monitoring application of particular importance for coastal managers to successfully plan beach services in terms of security, rescue, health and environmental assistance. In this paper, an experimental study that uses IoT data and deep learning to predict the number of beach visitors at Castelldefels beach (Barcelona, Spain) was developed. Images of Castelldefels beach were captured by a video monitoring system. An image recognition software was used to estimate beach attendance. A deep learning algorithm (deep neural network) to predict beach attendance was developed. The experimental results prove the feasibility of Deep Neural Networks (DNNs) for beach attendance prediction. For each beach, a classification of occupancy was estimated, depending on the number of beach visitors. The proposed model outperforms other machine learning models (decision tree, k-nearest neighbors, and random forest) and can successfully classify seven beach occupancy levels with the Mean Absolute Error (MAE), accuracy, precision, recall and F1-score of 0.03, 92.7%, 92.9%, 92.7%, and 92.7%, respectively. © 2021 by the author. Licensee MDPI, Basel, Switzerland.",Funding: This work was funded by the Agencia Estatal de Investigación of Ministerio de Ciencia e Innovación of Spain under project PID2019–108713RB-C51 MCIN/AEI/10.13039/501100011033.,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85119610813,Yes,Spain,Other,Social & Demographics,Digital Transformation & Smart Cities,"Deep Learning (LSTM, CNN)",Prediction/Forecasting,Predict beach attendance using deep learning and IoT for smart seaside city management,"SDG 8 (Economic Growth), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
"Wang, Q.-W.; Chen, Y.-R.; Liu, Y.-C.","Wang, Qiuwen (57349985800); Chen, Yanru (55934233800); Liu, Yuanchun (57215353452)",57349985800; 55934233800; 57215353452,Metro short-term traffic flow prediction with ConvLSTM; 基于卷积长短时记忆神经网络的城市轨道交通短时客流预测,2021,Kongzhi yu Juece/Control and Decision,36,11,,2760,2770,12,10.13195/j.kzyjc.2020.0501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119592213&doi=10.13195%2Fj.kzyjc.2020.0501&partnerID=40&md5=750722e2ab81088c8f15f4786e6cf624,"School of Economics and Management, Southwest Jiaotong University, Chengdu, Sichuan, China; School of Software, Jiangxi Normal University, Nanchang, Jiangxi, China","Wang, Qiuwen, School of Economics and Management, Southwest Jiaotong University, Chengdu, Sichuan, China; Chen, Yanru, School of Economics and Management, Southwest Jiaotong University, Chengdu, Sichuan, China; Liu, Yuanchun, School of Software, Jiangxi Normal University, Nanchang, Jiangxi, China","China's urban rail transit is developing rapidly. Short-term passenger flow prediction is of great significance for operational safety, network optimization, and then smart city building. While the urban rail passenger flow is cyclical and random in the aspect of temporal characteristics, passenger flows in certain time slots are similar and passenger flows at adjacent stations are spatially correlated. Considering the above spatiotemporal characteristics, this research proposes a deep learning model, named k-means-ConvLSTM (k-ConvLSTM) for urban rail short-term passenger flow prediction based on the ConvLSTM and the adaptive k-means clustering algorithm. Experiments are designed to optimize the key parameters of the model. Also, in order to examine the performance of the proposed model, abundant experiments are conducted based on the real passenger flow data of the Shenzhen Metro IC card. The results show that proposed k-ConvLSTM model performs better than deep learning models that only consider spatiotemporal characteristics -- parallel architecture comprising the convolutional neural networks (CNN) and the long short-term memory network (LSTM), the ConvLSTM, and deep learning models that only consider temporal characteristics -- the LSTM and the bi-directional long short-term memory network (Bi-LSTM), and shallow learning models -- the back propagation neural network (BPNN) and the support vector regression model (SVR), in terms of root mean square errors, mean absolute errors and mean absolute percentage errors. © 2021, Editorial Office of Control and Decision. All right reserved.",,Article,Final,,Scopus,2-s2.0-85119592213,Yes,China,Transportation,Transportation & Mobility,Urban Mobility & Transportation,ConvLSTM,Prediction/Forecasting,Predict metro short-term passenger flow using ConvLSTM deep learning model,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
"Häring, T.; Parts, T.M.; Ahmadiahangar, R.; Rosin, A.; Thalfeldt, M.; Biechl, H.","Häring, Tobias (57211512274); Parts, Tuule Mall (58169721300); Ahmadiahangar, Roya (57210468847); Rosin, Argo (24081367900); Thalfeldt, Martin (55863765200); Biechl, Helmuth (7801442205)",57211512274; 58169721300; 57210468847; 24081367900; 55863765200; 7801442205,Microgrid Oriented modeling of space heating system based on neural networks,2021,Journal of Building Engineering,43,,103150,,,13,10.1016/j.jobe.2021.103150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119526197&doi=10.1016%2Fj.jobe.2021.103150&partnerID=40&md5=f26df87013599d57b6d78c7b703cbab9,"Department of Electrical Power Engineering and Mechatronics, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Department of Civil Engineering and Architecture, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Fachhochschule Kempten, Hochschule für Technik und Wirtschaft, Kempten, Bayern, Germany","Häring, Tobias, Department of Electrical Power Engineering and Mechatronics, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Parts, Tuule Mall, Department of Civil Engineering and Architecture, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Ahmadiahangar, Roya, Department of Electrical Power Engineering and Mechatronics, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Rosin, Argo, Department of Electrical Power Engineering and Mechatronics, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Thalfeldt, Martin, Department of Civil Engineering and Architecture, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia; Biechl, Helmuth, Department of Electrical Power Engineering and Mechatronics, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia, Tallinna Tehnikaülikool, Tallinn, Harjumaa, Estonia, Fachhochschule Kempten, Hochschule für Technik und Wirtschaft, Kempten, Bayern, Germany","Balancing the energy production and consumption is a huge challenge for future smart grids. In this context, many demand-side management programs are being developed to achieve flexibility from different loads like space heating. As space heating models for flexibility simulations are an interdisciplinary field of work, complex civil engineering thermal models need to be combined with complex electrical engineering control simulations in different software frameworks. Traditionally used methods have shortcomings in one of those two domains as the publications that provide complex control strategies for demand response are lacking complex thermal models and vice versa. Co-simulations overcome this problem but are computationally expensive and have compatibility limitations. Thus, the aim of this work is to develop a methodology for designing space heating/cooling models, intended for positive energy district- or smart city simulations, which provide high accuracy at low computational expense. This could be achieved by synthesizing neural network object models from IDA-ICE civil engineering models in Matlab. These machine learning models showed improvements of more than 30% in different error metrics and a simulation time reduction of more than 80% compared to other methods, making them suitable for use in microgrid simulations, including flexibility analyses. © 2021 Elsevier Ltd","This research was supported by the Estonian Centre of Excellence in Zero Energy and Resource Efficient Smart Buildings and Districts, ZEBE (grant No. 2014-2020.4.01.15-0016) and the programme Mobilitas Pluss (Grant No \u2013 2014-2020.4.01.16-0024, MOBTP88) funded by the European Regional Development Fund, by the Estonian Research Council (grant No. PSG409), and by the European Commission through the H2020project Finest Twins (grant No. 856602).",Article,Final,,Scopus,2-s2.0-85119526197,Yes,Estonia,Energy,Smart Grid & Energy,Digital Transformation & Smart Cities,Neural Network,Prediction/Forecasting,Model space heating system for microgrid flexibility simulation using neural networks,"SDG 7 (Energy), SDG 11 (Sustainable Cities)",Methodological,Quantitative,Local,Future,Cross-sectional,Medium
"Shah, S.-C.","Shah, Sayed Chhattan (35146695400)",35146695400,Design of a machine learning-based intelligent middleware platform for a heterogeneous private edge cloud system,2021,Sensors,21,22,7701,,,5,10.3390/s21227701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119325347&doi=10.3390%2Fs21227701&partnerID=40&md5=69cd62aa6a8b81f683e7d42145dd2237,"Department of Information and Communication Engineering, Hankuk University of Foreign Studies, Seoul, South Korea","Shah, Sayed Chhattan, Department of Information and Communication Engineering, Hankuk University of Foreign Studies, Seoul, South Korea","Recent advances in mobile technologies have facilitated the development of a new class of smart city and fifth-generation (5G) network applications. These applications have diverse requirements, such as low latencies, high data rates, significant amounts of computing and storage resources, and access to sensors and actuators. A heterogeneous private edge cloud system was proposed to address the requirements of these applications. The proposed heterogeneous private edge cloud system is characterized by a complex and dynamic multilayer network and computing infrastructure. Efficient management and utilization of this infrastructure may increase data rates and reduce data latency, data privacy risks, and traffic to the core Internet network. A novel intelligent middleware platform is proposed in the current study to manage and utilize heterogeneous private edge cloud infrastructure efficiently. The proposed platform aims to provide computing, data collection, and data storage services to support emerging resource-intensive and non-resource-intensive smart city and 5G network applications. It aims to leverage regression analysis and reinforcement learning methods to solve the problem of efficiently allocating heterogeneous resources to application tasks. This platform adopts parallel transmission techniques, dynamic interface allocation techniques, and machine learning-based algorithms in a dynamic multilayer network infrastructure to improve network and application performance. Moreover, it uses container and device virtualization technologies to address problems related to heterogeneous hardware and execution environments. © 2021 by the author. Licensee MDPI, Basel, Switzerland.",This work was supported in part by Hankuk University of Foreign Studies’ Research Fund for 2021 and in part by the National Research Foundation of Korea (NRF) grant funded by the Ministry of Science and ICT Korea No. 2021R1F1A1045933.,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85119325347,Yes,South Korea,Infrastructure,Smart City Infrastructure,Digital Transformation & Smart Cities,Machine Learning,Multiple,Design ML-based intelligent middleware platform for heterogeneous private edge cloud in smart cities,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Methodological,Quantitative,Local,Present,Cross-sectional,Strong
"McCarty, D.; Lee, J.; Kim, H.W.","McCarty, Dakota Aaron (57219128867); Lee, Jaekyung (56988292200); Kim, Hyunwoo (56834732500)",57219128867; 56988292200; 56834732500,Machine learning simulation of land cover impact on surface urban heat island surrounding park areas,2021,Sustainability (Switzerland),13,22,12678,,,25,10.3390/su132212678,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119294183&doi=10.3390%2Fsu132212678&partnerID=40&md5=e12304f788847bd96bc2aad2a0332124,"Department of Urban Planning and Policy Studies, Incheon National University, Incheon, South Korea; Department of Urban Design and Planning, Hongik University, Seoul, South Korea; Department of Urban Policy and Administration, Incheon National University, Incheon, South Korea","McCarty, Dakota Aaron, Department of Urban Planning and Policy Studies, Incheon National University, Incheon, South Korea; Lee, Jaekyung, Department of Urban Design and Planning, Hongik University, Seoul, South Korea; Kim, Hyunwoo, Department of Urban Policy and Administration, Incheon National University, Incheon, South Korea","The urban heat island effect has been studied extensively by many researchers around the world with the process of urbanization coming about as one of the major culprits of the increasing urban land surface temperatures. Over the past 20 years, the city of Dallas, Texas, has consistently been one of the fastest growing cities in the United States and has faced rapid urbanization and great amounts of urban sprawl, leading to an increase in built-up surface area. In this study, we utilize Landsat 8 satellite images, Geographic Information System (GIS) technologies, land use/land cover (LULC) data, and a state-of-the-art methodology combining machine learning algorithms (eX-treme Gradient Boosted models, or XGBoost) and a modern game theoretic-based approach (Shap-ley Additive exPlanation, or SHAP values) to investigate how different land use/land cover classi-fications impact the land surface temperature and park cooling effects in the city of Dallas. We con-clude that green spaces, residential, and commercial/office spaces have the largest impacts on Land Surface Temperatures (LST) as well as the Park’s Cooling Intensity (PCI). Additionally, we have found that the extent and direction of influence of these categories depends heavily on the surrounding area. By using SHAP values we can describe these interactions in greater detail than pre-vious studies. These results will provide an important reference for future urban and park place-ment planning to minimize the urban heat island effect, especially in sprawling cities. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Funding: This research was supported by Incheon National University Research Grant in 2021, grant number 2021-0064.",Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85119294183,Yes,South Korea,Urban Climate,Environment & Sustainability,Climate Change & Environmental Sustainability,Machine Learning,Simulation,Simulate land cover impact on surface urban heat island around park areas using ML,"SDG 11 (Sustainable Cities), SDG 13 (Climate), SDG 15 (Land)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
